length_mm,voltage,time_range
1,2.59,50-70s
1,2.57,50-70s
1,2.57,50-70s
1,2.55,50-70s
1,2.57,50-70s
1,2.58,50-70s
1,2.58,50-70s
1,2.58,50-70s
1,2.59,50-70s
1,2.58,50-70s
1,2.59,50-70s
1,2.58,50-70s
1,2.57,50-70s
1,2.59,50-70s
1,2.56,50-70s
1,2.55,50-70s
1,2.58,50-70s
1,2.59,50-70s
1,2.57,50-70s
1,2.56,50-70s
1,2.58,50-70s
1,2.54,50-70s
1,2.56,50-70s
1,2.59,50-70s
1,2.58,50-70s
1,2.57,50-70s
1,2.56,50-70s
1,2.5,50-70s
1,2.53,50-70s
1,2.48,50-70s
1,2.54,50-70s
1,2.54,50-70s
1,2.51,50-70s
1,2.53,50-70s
1,2.58,50-70s
1,2.53,50-70s
1,2.56,50-70s
1,2.51,50-70s
1,2.57,50-70s
